"","rent","neighborhood"
"1",2842.766401,"Tenderloin"
"2",3465.82837,"SoMa"
"3",4058.062231,"Rincon Hill"
"4",3538.877014,"South Beach"
"5",2823.619281,"Chinatown"
"6",2898.292421,"Nob Hill"
"7",3833.900662,"Mission"
"8",3552.933333,"Financial District"
"9",3181.833333,"Ingleside"
"10",3772.467978,"Castro"
"11",3372.304893,"Lower Pacific Heights"
"12",3567.478114,"Taraval"
"13",3548.006579,"Panhandle"
"14",3399.190821,"Inner Richmond"
"15",3146.948341,"Outer Richmond"
"16",3464.416667,"Sunset"
"17",3727.207481,"Marina"
"18",3554.466667,"Bayview"
"19",5160.555556,"Portola"
"20",3918.752914,"Twin Peaks"
"21",3589.444444,"Lake Merced"
"22",3686.483333,"North Beach"
"23",3428.566667,"Bayshore"
